path,ext,bytes,mtime_iso,total_lines,code_lines,comment_lines,blank_lines,functions,classes,py_top_level_functions,py_methods,py_async_functions,lines_per_function
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\shared\html.js,js,198,2026-03-17T10:47:42,9,9,0,0,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\shared\http.js,js,1124,2026-03-17T10:47:42,41,34,0,7,1,0,0,0,0,34.0
D:\shared\TopicClassification\menu-planner\tests\test_constraints.py,py,3023,2026-03-18T21:01:25,90,69,3,18,5,0,5,0,0,13.8
D:\shared\TopicClassification\menu-planner\tests\test_db_backup.py,py,2949,2026-03-25T22:11:01,85,56,1,28,5,1,4,1,0,11.2
D:\shared\TopicClassification\menu-planner\tests\__init__.py,py,0,2026-03-16T15:22:40,0,0,0,0,0,0,0,0,0,0.0
D:\shared\TopicClassification\menu-planner\tests\e2e\test_e2e_excel.py,py,3907,2026-03-20T20:47:42,121,88,10,23,2,0,2,0,0,44.0
D:\shared\TopicClassification\menu-planner\tests\unit\test_admin_catalog_backup_flow.py,py,18663,2026-03-27T15:16:02,547,418,0,129,41,1,20,9,0,10.2
D:\shared\TopicClassification\menu-planner\tests\unit\test_admin_catalog_cost_preview.py,py,2609,2026-03-20T15:52:48,74,52,0,22,9,1,4,5,0,5.78
D:\shared\TopicClassification\menu-planner\tests\unit\test_admin_repo_cost_preview.py,py,8995,2026-03-25T21:22:41,270,223,0,47,9,0,9,0,0,24.78
D:\shared\TopicClassification\menu-planner\tests\unit\test_backtracking_partial_fill.py,py,3709,2026-03-20T21:22:41,104,93,0,11,3,0,3,0,0,31.0
D:\shared\TopicClassification\menu-planner\tests\unit\test_backtracking_soup_diagnostics.py,py,2280,2026-03-20T09:52:09,74,66,0,8,3,0,3,0,0,22.0
D:\shared\TopicClassification\menu-planner\tests\unit\test_constraints.py,py,7222,2026-03-19T14:20:03,224,187,4,33,10,0,10,0,0,18.7
D:\shared\TopicClassification\menu-planner\tests\unit\test_db_backup.py,py,2949,2026-03-25T22:11:01,85,56,1,28,5,1,4,1,0,11.2
D:\shared\TopicClassification\menu-planner\tests\unit\test_planner_auto_relax.py,py,3304,2026-03-20T09:52:09,93,71,0,22,7,0,7,0,0,10.14
D:\shared\TopicClassification\menu-planner\tests\unit\test_planner_excluded_ingredients.py,py,1434,2026-03-19T10:08:25,48,36,0,12,4,0,4,0,0,9.0
D:\shared\TopicClassification\menu-planner\tests\unit\test_planner_ingredient_repeat_group.py,py,3885,2026-03-19T14:20:03,87,69,0,18,5,0,5,0,0,13.8
D:\shared\TopicClassification\menu-planner\tests\unit\test_procurement.py,py,2909,2026-03-20T20:47:42,77,68,0,9,2,0,2,0,0,34.0
D:\shared\TopicClassification\menu-planner\tests\unit\test_result_enrich_recompute.py,py,3913,2026-03-20T21:54:12,88,74,0,14,8,1,2,6,0,9.25
D:\shared\TopicClassification\menu-planner\tests\unit\test_scoring_inventory_expiry.py,py,2367,2026-03-19T16:55:45,73,61,1,11,3,0,3,0,0,20.33
